"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2020-01-16",1.5,18.08,16.83,87.0533333333333,92.3,82.2,803.566666666667,805,802,142,"SE",31.932,20.8186333333333,111.8
"2020-01-17",7.5,23.25,15.93,77.1682291666667,95.9,54.94,803.625,806,801,92,"E",41.472,266.521541666667,1287
"2020-01-18",0,27.18,14.02,70.1251041666667,88,34.41,801.932291666667,804,798.6,68,"ENE",39.132,304.199572916667,1134
"2020-01-19",0,26.79,15.07,66.7914583333333,85.7,44.72,800.94375,803,797.8,100,"E",51.984,337.514583333333,1080
"2020-01-20",0,28.49,16.39,65.9616666666667,81.2,34.1,799.436458333333,802,796.1,86,"E",38.196,292.661822916667,1201
"2020-01-21",0,29.41,15.64,67.18125,82.6,40.24,797.920833333333,800,795.2,85,"E",51.66,227.481427083333,1129
"2020-01-22",4.9,26.2,16.51,67.1626041666667,93.5,36.69,799.640625,802,796.7,147,"SSE",23.796,220.00509375,1152
"2020-01-23",0,28.3,16.77,59.6673958333333,77.73,35.33,799.608333333333,801,796.7,69,"ENE",33.84,262.2401875,1318
"2020-01-24",0,28.98,16.97,51.9177083333333,71.21,22.49,799.788541666667,802,796.6,62,"ENE",50.112,334.351010416667,1270
"2020-01-25",0,29.35,13.1,51.1366666666667,70.92,18.32,800.814583333333,803,798.1,80,"E",41.688,334.962802083333,1050
"2020-01-26",0,29.22,13.56,52.8305208333333,72.41,18.43,800.982291666667,803,797.8,71,"ENE",46.332,333.266604166667,1057
"2020-01-27",0,25.68,16.08,58.71125,77.46,36.62,800.879166666667,803,798,88,"E",44.316,279.321625,1418
"2020-01-28",0,23.91,16.7,67.6051041666667,77.93,51.62,798.954166666667,801,795.9,70,"ENE",48.996,261.532958333333,1249
"2020-01-29",0,25.03,16.32,60.4754166666667,77.66,37.35,797.189583333333,799,794.7,48,"NE",51.624,234.213145833333,1157
"2020-01-30",27.5,22.99,14.02,81.1339583333333,96,58.52,800.134375,804,797.6,67,"ENE",29.088,113.281302083333,735.5
"2020-01-31",6.7,19.98,13.43,85.1742708333333,97.7,67.61,801.691666666667,803,799,155,"SSE",21.204,145.229979166667,576.4
"2020-02-01",0,22.53,14.36,76.1272916666667,91.9,59.95,800.663541666667,803,797,90,"E",39.636,280.689291666667,1277
"2020-02-02",0,24.11,14.67,75.08875,89.8,56.9,800.442708333333,802,798.7,103,"E",45.828,289.132708333333,1378
"2020-02-03",0,25,16.25,73.373125,86.3,50.49,801.015625,803,799.1,41,"NE",31.536,198.964666666667,1427
"2020-02-04",0,27.38,13.89,68.5473958333333,84.8,29.53,798.097916666667,801,794.7,56,"ENE",49.248,322.4620625,1080
"2020-02-05",0,24.76,17.16,68.0727083333333,81.4,51.69,796.123958333333,798,792.9,86,"E",45.252,299.514958333333,1170
"2020-02-06",0,24.43,17.29,72.2445833333333,86.5,55.66,798.595833333333,801,796.4,76,"E",37.224,222.830854166667,1454
"2020-02-07",2,24.76,16.05,80.8444791666667,95,55.27,799.858333333333,802,797.9,55,"ENE",35.856,171.413447916667,1152
"2020-02-08",4.4,23.65,16.77,80.5135416666667,95.3,58.12,799.802083333333,802,797.7,150,"SSE",25.02,139.006020833333,1180
"2020-02-09",15.9,20.51,15.86,86.8230208333333,96.3,72.99,801.465625,803,799.6,333,"NNW",19.404,91.3180833333333,633.3
"2020-02-10",4.1,20.11,15.66,84.4739583333333,95.6,66.53,802.697916666667,804,802,130,"SE",23.868,93.74625,631.6
"2020-02-11",14.1,22.08,15.66,83.0669791666667,93.8,59.3,802.375,803,801,308,"NW",21.204,117.418822916667,651.6
"2020-02-12",20.7,23.28,15.46,78.0952083333333,95.7,57.68,800.6375,803,797.5,85,"E",46.188,281.266854166667,1416
"2020-02-13",4.4,24.31,14.28,79.8159375,92.2,55.54,799.266666666667,801,796.9,67,"ENE",54.504,272.042083333333,1298
"2020-02-14",0,27.71,14.15,68.2451041666667,92.6,37.35,798.3125,799.7,795.6,92,"E",51.552,325.17246875,1036
"2020-02-15",0.3,25.94,15.2,74.384375,91.5,56.46,798.652083333333,802,795.9,96,"E",46.512,298.04553125,1136
"2020-02-16",0.1,27.51,17.63,66.9739583333333,86.9,32.92,797.142708333333,800,794.8,96,"E",47.7,241.153177083333,1025
"2020-02-17",2,24.17,17.3,66.029375,83.2,40.66,796.533333333333,798.9,793.7,306,"NW",66.78,260.62853125,1191
"2020-02-18",3.9,24.7,17.1,71.4834375,87.9,56.52,798.238541666667,801,795.9,87,"E",41.616,259.362375,1062
"2020-02-19",37.5,24.9,14.87,78.3363541666667,95.7,52.08,799.351041666667,803,794.3,93,"E",42.156,201.062708333333,809
"2020-02-20",31.9,18.41,15.92,92.084375,96.9,81.7,800.352083333333,803,797.9,326,"NNW",19.656,48.9420520833333,233.2
"2020-02-21",22.4,18.58,15,90.8791666666667,98.1,81.8,802.9375,805,801,144,"SE",30.132,79.63053125,525.8
"2020-02-22",7,23.52,13.82,79.4429166666667,97.7,52.72,803.5625,806,801,133,"SE",29.088,241.97734375,1465
"2020-02-23",0,22.95,11.2,76.7430208333333,90.7,56.68,800.64375,803,797.4,85,"E",46.332,314.483979166667,1039
"2020-02-24",0,22.4,14.41,75.0754166666667,91.2,59.49,796.866666666667,799.6,794.1,83,"E",47.484,309.763427083333,1019
"2020-02-25",0,23.26,14.8,71.3526041666667,85.7,57.48,796.541666666667,801,794.4,88,"E",44.64,306.98509375,1020
"2020-02-26",9.2,18.61,14.59,88.2679166666667,96.2,76.96,802.041666666667,804,800,119,"ESE",26.1,54.42984375,199
"2020-02-27",0,21.29,14.15,79.07875,95.3,56.43,802.083333333333,804,800,103,"E",36.072,210.55228125,1241
"2020-02-28",0,21.82,14.61,74.955625,90,55.06,802.34375,804,800,109,"ESE",36.54,281.868135416667,1129
"2020-02-29",0,24.05,13.76,65.8107291666667,88.8,45.49,804.3125,806,802,83,"E",31.86,192.899854166667,985
"2020-03-01",0,25.03,15.86,62.9465625,78.18,39.56,804.166666666667,806,801,57,"ENE",38.844,273.10634375,1188
"2020-03-02",0.2,23.06,13.76,67.2127083333333,89.4,46.26,802.958333333333,805,800,74,"ENE",38.484,194.85540625,1197
"2020-03-03",0,21.03,13.69,69.3826041666667,87.8,48.34,802.90625,804,800,66,"ENE",26.208,107.279979166667,461.9
"2020-03-04",0,26.21,14.48,62.8621875,81.5,35.42,803.03125,805,800,100,"E",38.844,312.17921875,1134
"2020-03-05",0,26.08,14.15,57.6446875,76.91,34.48,803.604166666667,805,800,101,"E",38.736,326.597916666667,1140
"2020-03-06",0,25.22,13.43,60.7836458333333,76.48,40.57,802.525,805,799.3,84,"E",42.552,297.70075,1228
"2020-03-07",0,25.16,12.65,62.4135416666667,79.54,39.42,800.129166666667,802,797,70,"ENE",42.804,309.996197916667,1025
"2020-03-08",0,26.8,13.23,63.9595833333333,82,40.48,799.967708333333,803,797.5,90,"E",41.832,306.9790625,1021
"2020-03-09",0,28.04,15.27,61.8798958333333,83,27.77,802.583333333333,805,800,55,"ENE",42.408,276.011083333333,1137
"2020-03-10",0,25.89,14.63,55.635,69.77,33.38,802.844791666667,805,799.5,74,"ENE",37.08,256.04509375,1360
"2020-03-11",0,25.35,14.29,60.896875,77.13,42.75,800.176041666667,803,796.8,87,"E",37.044,303.36490625,1142
"2020-03-12",0,26.47,12.98,62.8114583333333,81.5,35.39,800.06875,803,797.6,40,"NE",43.236,289.599489583333,1005
"2020-03-13",0,25.31,12.91,62.5465625,80.9,41.08,801.901041666667,804,798.5,69,"ENE",43.02,292.494385416667,998
"2020-03-14",0,26.6,14.29,62.4066666666667,76.02,40.66,801.671875,804,798.1,73,"ENE",45.828,294.587083333333,1021
"2020-03-15",0,25.82,14.42,65.3236458333333,79.74,44.64,801.038541666667,803,797.9,108,"ESE",47.412,285.68703125,1084
"2020-03-16",0,21.69,15.66,70.0427083333333,81.4,58.97,800.538541666667,802,797.7,81,"E",44.1,175.219520833333,1033
"2020-03-17",0,24.4,13.57,69.4720833333333,83.6,48.36,798.857291666667,801,795.9,44,"NE",46.116,297.056708333333,1013
"2020-03-18",0,25.49,14.97,69.1828125,80.5,46.94,799.161458333333,802,796.9,61,"ENE",47.844,240.49140625,971
"2020-03-19",1.3,23.72,15.73,71.9495833333333,90.5,54.62,799.973958333333,802,796.7,47,"NE",38.664,194.237958333333,1070
"2020-03-20",21.4,19.33,14.88,90.8854166666667,97.3,74.03,800.357291666667,802,798.7,159,"SSE",24.192,68.8242395833333,353
"2020-03-21",0,21.69,14.05,80.9528125,96.7,63.15,799.338541666667,801,797.4,91,"E",31.716,232.0469375,1191
"2020-03-22",0,25.1,14.15,76.1217708333333,93.8,50.97,801.007291666667,803,799.2,45,"NE",41.94,222.619239583333,1195
"2020-03-23",0,26.08,15.27,71.3639583333333,89.4,44.78,802.677083333333,805,800,68,"ENE",29.484,214.94090625,1137
"2020-03-24",0,26.99,16.73,67.5761458333333,86.6,43.49,801.05,803,798.1,72,"ENE",35.244,254.61278125,1050
"2020-03-25",0,24.4,15.47,71.4160416666667,82.6,56.72,798.538541666667,801,795.8,69,"ENE",43.092,282.260458333333,1033
"2020-03-26",0,26.28,15.99,69.2885416666667,85.6,31.48,798.804166666667,801,795.9,289,"WNW",51.444,229.590104166667,1157
"2020-03-27",0,22.41,14.16,72.8178125,85.8,56.76,797.526041666667,799.6,794.5,90,"E",46.584,273.363395833333,1011
"2020-03-28",0,22.41,15.08,71.8365625,84.8,58,798.789583333333,801,796.5,82,"E",39.816,271.241927083333,1052
"2020-03-29",0,24.14,12.83,70.29875,86.7,51.04,801.1875,804,798.8,78,"E",37.404,279.644145833333,968
"2020-03-30",0,26.61,13.92,67.2970833333333,83.1,41.07,802.188541666667,805,798.8,10,"N",34.596,242.807875,1060
"2020-03-31",0,24.77,15.34,66.7254166666667,82.9,49.08,801.43125,803,798.5,87,"E",40.608,279.585677083333,1085
"2020-04-01",0,25.96,13.5,66.7773958333333,81.3,43.81,801.29375,803,798.9,89,"E",42.696,283.063833333333,1045
"2020-04-02",0,26.61,13.84,64.7192708333333,82.9,41.53,803.052083333333,805,801,81,"E",47.88,236.98209375,989
"2020-04-03",0,23,14.48,70.4364583333333,82.8,55.6,801.6625,805,798.2,126,"SE",49.536,260.69871875,1203
"2020-04-04",0,24.71,12.55,67.4569791666667,85.7,38.24,797.329166666667,800,793.9,35,"NE",60.588,275.094010416667,934
"2020-04-05",0,27.98,14.49,61.5465625,79.54,29.93,797.21875,798.9,794.9,286,"WNW",71.748,274.17834375,927
"2020-04-06",5.7,26.14,15.48,75.0321875,94,48.18,801.813541666667,805,798.6,54,"NE",41.616,134.18034375,1014
"2020-04-07",4.1,18.42,13.77,84.499375,94.2,66.91,804.90625,808,803,103,"E",20.268,98.1826875,635
"2020-04-08",0,21.5,12.54,79.2027083333333,90.1,59.44,803.260416666667,806,801,90,"E",36.396,158.67903125,1323
"2020-04-09",0,22.81,14.3,75.0829166666667,88.8,49.86,801.720833333333,804,799,36,"NE",48.06,259.331885416667,911
"2020-04-10",0,20.19,13.11,68.364375,80.1,48.92,801.219791666667,803,798,34,"NNE",40.032,261.470385416667,909
"2020-04-11",0,20.45,12.32,69.4704166666667,83.3,52.32,800.334375,802,797.2,67,"ENE",46.116,261.794989583333,904
"2020-04-12",0,21.83,11.93,67.7820833333333,84.2,45.74,800.179166666667,802,797.7,103,"E",42.264,266.199375,911
"2020-04-13",0,23.73,10.31,62.5359375,77.57,29.43,798.259375,802,795.3,75,"E",50.724,266.446510416667,915
"2020-04-14",0,20.39,13.5,74.74,83.7,59.82,800.482291666667,802,797.8,46,"NE",52.956,169.028760416667,1013
"2020-04-15",0,16.51,11.47,75.3213541666667,84.7,65.14,802.208333333333,804,801,100,"E",35.82,77.2629166666667,308.9
"2020-04-16",0,19.92,12.92,65.64875,79.6,51.29,804.770833333333,807,803,49,"NE",35.892,181.51040625,1076
"2020-04-17",0,19.72,13.37,60.9078125,72.36,49.05,806.5,809,805,152,"SSE",19.44,116.425291666667,935
"2020-04-18",0,23.6,8.72,64.906875,82.9,32.25,805.21875,807,803,72,"ENE",38.736,242.75928125,910
"2020-04-19",0,23.27,9.11,57.4659375,80.4,27.37,803.614583333333,805,801,82,"E",39.42,256.58425,889
"2020-04-20",0,24.05,8.98,58.9246875,73.08,33.36,803.270833333333,805,800,91,"E",35.712,254.02921875,881
"2020-04-21",0,22.94,10.69,65.0801041666667,77.76,44.5,803.302083333333,805,801,86,"E",39.78,236.242125,863
"2020-04-22",0,23.39,13.7,67.0615625,80.5,47.64,802.25,804,799.5,61,"ENE",40.428,259.065291666667,1073
"2020-04-23",0,22.94,11.42,68.461875,81.8,48.48,800.702083333333,803,798.2,84,"E",43.02,250.321229166667,873
"2020-04-24",0,23.2,12.06,70.7416666666667,81.8,56.28,798.504166666667,800,796.5,52,"NE",39.456,250.413229166667,866
"2020-04-25",0,23.13,13.5,72.4665625,85.2,57.94,799.507291666667,802,797.7,64,"ENE",47.52,242.780604166667,895
"2020-04-26",0,23.73,13.38,69.0125,83.9,43.27,803.427083333333,806,801,73,"ENE",40.86,112.654375,648.4
"2020-04-27",0,24.51,11.34,64.4829166666667,78.22,33.62,803.208333333333,806,800,49,"NE",43.056,241.16540625,876
"2020-04-28",0,22.94,12.39,67.5870833333333,82.6,47.24,800.286458333333,802,798,33,"NNE",47.772,244.021072916667,848
"2020-04-29",5.5,22.45,14.1,78.1484375,93.4,57.49,803.385416666667,806,801,114,"ESE",39.096,162.12834375,935
"2020-04-30",0,22.13,11.74,75.164375,89.3,57.41,802.330208333333,804,799.9,359,"N",40.212,243.199395833333,849
"2020-05-01",0,20.64,13.18,75.9971875,86.5,63.08,803.989583333333,806,802,63,"ENE",39.276,211.7175,1035
"2020-05-02",0,20.46,14.42,74.7279166666667,83.7,63.09,803.4375,806,800,60,"ENE",50.004,216.310114583333,1076
"2020-05-03",0,20.45,11.97,75.8090625,86.8,59.1,800.448958333333,803,797.8,38,"NE",43.776,194.77915625,967
"2020-05-04",0,21.43,13.48,72.2697916666667,83.4,57.29,797.503125,799.3,794.9,58,"ENE",50.724,175.447291666667,842
"2020-05-05",0,22.41,13.97,72.7739583333333,85.9,56.72,798.889583333333,802,796.9,70,"ENE",37.62,165.162885416667,869
"2020-05-06",3,17.73,10.88,86.4409375,94.6,75.62,803.5625,806,801,126,"SE",23.724,57.86009375,376.3
"2020-05-07",0,16.72,10.23,73.63625,87.3,61.94,804.78125,806,803,54,"NE",39.312,145.792072916667,784.7
"2020-05-08",0,25.36,8.06,62.6942708333333,88.2,31.35,803.270833333333,805,801,69,"ENE",39.384,235.547489583333,830
"2020-05-09",0,26.81,8.63,46.4352083333333,65.23,16.4,800.080208333333,803,797.1,78,"E",40.464,238.45590625,840
"2020-05-10",0,23.33,10.89,59.7190625,75.49,37.73,797.216666666667,799.2,794.9,70,"ENE",58.788,234.301739583333,872
"2020-05-11",0,24.21,11.35,63.9134375,81,30.62,798.398958333333,802,796.5,62,"ENE",51.912,232.05778125,820
"2020-05-12",0,24.9,11.48,68.1196875,85.3,43.15,799.06875,801,795.8,30,"NNE",48.852,227.4831875,842
"2020-05-13",1.5,24.84,10.56,62.6060416666667,89.3,11.78,800.614583333333,804,797.6,92,"E",39.132,220.133072916667,829
"2020-05-14",0.2,19.14,10.89,75.940625,90.4,53.16,803.572916666667,805,801,68,"ENE",45.504,168.118885416667,909
"2020-05-15",0,24.12,10.17,56.1332291666667,82.7,18.62,803.4375,806,801,75,"E",28.692,215.649625,825
"2020-05-16",0,25.62,8.07,37.3920833333333,63.41,8.97,804.260416666667,807,801,34,"NNE",32.94,233.478333333333,833
"2020-05-17",0,25.69,8.52,39.1972916666667,54.91,16.73,801.219791666667,803,798.5,72,"ENE",42.768,226.3823125,804
"2020-05-18",0,25.38,9.51,48.1346875,70.91,18.51,800.933333333333,803,798.6,65,"ENE",47.772,217.742822916667,791.5
"2020-05-19",0,26.61,9.7,62.7563541666667,79.89,24.7,799.682291666667,802,797,68,"ENE",51.048,217.839854166667,779.2
"2020-05-20",0,24,12.73,54.5842708333333,73.79,36.08,799.234375,802,797.4,326,"NNW",71.712,221.405364583333,793.2
"2020-05-21",0,24.1,17.51,55.5016666666667,72.46,39.95,798.841666666667,802,797,320,"NW",65.52,217.716833333333,786.2
"2020-05-22",0,22.35,14.78,65.9182291666667,80.2,47.63,801.153125,803,798.8,79,"E",43.272,174.64153125,738.2
"2020-05-23",0,18.36,7.019,71.9976041666667,92.1,53.68,804.625,807,802,57,"ENE",29.376,153.001875,721
"2020-05-24",0,25.49,6.755,38.21375,79.63,10.21,804.5625,807,802,54,"NE",30.636,225.585666666667,808
"2020-05-25",0,27.7,8.25,23.5671458333333,38.7,7.226,804.427083333333,807,803,122,"ESE",43.272,224.24184375,804
"2020-05-26",0,23.34,9.31,30.9817708333333,43.58,15.82,804.604166666667,807,802,48,"NE",28.404,221.001583333333,793.1
"2020-05-27",0,23.54,8.59,35.6357291666667,48.29,18.73,801.676041666667,804,799.1,65,"ENE",34.344,221.259625,794.1
"2020-05-28",0,23.4,7.151,40.2173958333333,63.8,13.46,799.272916666667,801,797,66,"ENE",46.404,220.9131875,795.6
"2020-05-29",0,25.73,8.33,47.6978125,68.71,16.14,798.982291666667,801,797.1,77,"E",52.344,214.146354166667,776.1
"2020-05-30",0,23.53,8.59,46.7378125,66.49,22.98,798.920833333333,801,797.1,60,"ENE",49.176,213.182875,768.4
"2020-05-31",0,22.03,8.53,62.7160416666667,83.3,31.4,801.2875,804,798.4,310,"NW",58.932,211.822822916667,764
"2020-06-01",0,23.14,9.91,62.554375,84.3,32.77,799.975,802,796.5,71,"ENE",55.62,202.433708333333,759.2
"2020-06-02",0,21.96,7.347,65.31375,83.5,36.48,800.085416666667,803,797.1,67,"ENE",45.144,203.773510416667,820
"2020-06-03",0,21.96,8.27,59.7008333333333,83.3,40.46,798.114583333333,799.9,795.6,287,"WNW",64.188,156.82103125,985
"2020-06-04",3.9,21.04,13.45,66.1225,97,46.26,799.223958333333,802,796.8,287,"WNW",62.244,76.6502604166667,615.7
"2020-06-05",0.1,23.93,13.98,55.998125,78.39,39.63,800.629166666667,803,799.2,261,"W",64.404,199.7863125,769.2
"2020-06-06",0,24.32,11.8,66.1759375,83,39.69,801.867708333333,805,799,318,"NW",56.412,165.52175,821
"2020-06-07",0,26.88,11.77,58.1971875,74.97,26.01,800.691666666667,803,798.6,66,"ENE",41.364,205.420322916667,747.4
"2020-06-08",0,27.59,11.87,58.68625,79.34,28.29,800.033333333333,802,798.3,79,"E",44.82,206.228604166667,748.4
"2020-06-09",0,23.27,12.4,64.6163541666667,80.2,44.64,799.351041666667,801,797.3,46,"NE",43.92,207.663885416667,752.1
"2020-06-10",0,22.62,12.13,68.689375,80.2,50.05,798.81875,800,797.3,31,"NNE",45.864,207.052114583333,750
"2020-06-11",0,23.01,13.12,71.0155208333333,85.2,50.99,798.482291666667,801,796.7,85,"E",54.648,205.344083333333,757.3
"2020-06-12",0,23.02,12.33,67.9708333333333,79.73,53.92,797.685416666667,799.5,796.2,45,"NE",42.372,199.429135416667,736.4
"2020-06-13",4.1,19.8,9.97,71.8541666666667,95.6,50.36,803.307291666667,806,798.5,123,"ESE",34.056,92.96484375,961
"2020-06-14",0.7,18.99,11.09,81.1245833333333,96.2,60.73,804.447916666667,807,802,118,"ESE",41.4,193.307395833333,1073
"2020-06-15",0,19.8,9.05,74.9871875,88.6,56.72,802.427083333333,804,801,48,"NE",37.584,202.2315625,735.3
"2020-06-16",0,19.41,9.85,68.6708333333333,79.98,49.89,800.45,803,798.4,45,"NE",49.248,206.16290625,754.1
"2020-06-17",0,22.23,8.79,58.1330208333333,73.98,35.89,798.323958333333,800,795.8,75,"E",53.136,209.108302083333,762.6
"2020-06-18",0,29.56,9.78,52.2488541666667,74.44,9.39,799.127083333333,801,797.3,24,"NNE",38.592,208.3985625,782.6
"2020-06-19",0,21.7,9.64,66.9146875,78.22,46.58,799.4125,801,797.4,51,"NE",45.396,206.725229166667,753.1
"2020-06-20",0,21.7,10.23,68.7453125,79.56,47.11,799.584375,801,798.4,65,"ENE",42.372,206.0285,746.9
"2020-06-21",0,21.85,11.57,68.0371875,83.2,49.01,799.0125,802,796.7,54,"NE",45.252,205.72578125,751.3
"2020-06-22",0,23.92,10.63,67.3440625,82.6,40.8,799.85625,803,797.3,327,"NNW",58.644,199.7526875,748
"2020-06-23",0,22.42,10.04,61.3934375,79.78,44.11,795.745833333333,797.7,793.2,53,"NE",49.932,206.487791666667,748.9
"2020-06-24",0,21.9,9.98,55.3376041666667,72.32,31.52,795.247916666667,797.2,793.1,66,"ENE",45.9,188.737083333333,800
"2020-06-25",0,21.9,10.04,61.2533333333333,81.6,39.55,798.73125,801,796.4,133,"SE",42.552,201.28546875,739.4
"2020-06-26",0,22.95,11.81,64.6058333333333,91.3,38.83,797.698958333333,800,794.2,287,"WNW",82.908,202.827083333333,751
"2020-06-27",0,23.09,8.27,62.8932291666667,78.88,30.36,799.163541666667,801,797.1,85,"E",38.88,206.023177083333,756.3
"2020-06-28",0,23.34,7.81,63.3370833333333,87.7,36.04,798.497916666667,801,795.9,9,"N",58.68,194.742458333333,749.2
"2020-06-29",0,23.8,10.63,58.2751041666667,76.07,29.25,797.766666666667,800,795.6,297,"WNW",68.22,208.39471875,762.9
"2020-06-30",0,28.32,9.13,39.230625,72.89,8.79,798.148958333333,801,796.1,69,"ENE",43.524,213.147864583333,777.4
"2020-07-01",0,18.36,8.6,69.8578125,81.1,56.17,799.48125,803,796.1,55,"ENE",41.616,194.783677083333,749.6
"2020-07-02",0,18.23,7.484,71.801875,83.8,50.87,798.980208333333,801,796.3,74,"ENE",49.896,167.935010416667,803
"2020-07-03",0,19.42,8.2,65.9369791666667,82.6,46.45,798.652083333333,801,795.7,80,"E",41.976,209.665635416667,759.6
"2020-07-04",0,19.8,7.09,56.7988541666667,73,42.42,796.169791666667,797.9,794.3,73,"ENE",48.456,210.68365625,763.8
"2020-07-05",0,22.42,7.998,59.1434375,76.33,28.7,797.883333333333,801,795.5,60,"ENE",43.38,208.497291666667,756.1
"2020-07-06",0,23.53,9.45,64.8742708333333,86.2,34.92,798.7125,801,795.8,297,"WNW",83.916,214.967645833333,856
"2020-07-07",0,23.28,15.35,55.4709375,73.3,39.1,796.755208333333,799.1,793.7,286,"WNW",61.164,193.99159375,769.2
"2020-07-08",0,25.96,7.815,47.2031979166667,67.44,7.026,798.955208333333,801,796.2,38,"NE",41.436,219.31434375,795.9
"2020-07-09",0,22.55,4.727,37.7382291666667,57.06,13.77,801.128125,804,799.1,79,"E",39.132,170.374729166667,866
"2020-07-10",0,23.74,7.749,38.8217708333333,62.39,12.22,798.56875,801,796.4,52,"NE",47.988,192.76415625,801
"2020-07-11",0,25.22,8.8,41.6913541666667,64.55,20.21,797.757291666667,799.9,796,15,"NNE",48.42,206.515895833333,805
"2020-07-12",0,29.04,8.86,40.5987083333333,68.7,4.305,798.516666666667,801,796.6,85,"E",39.708,218.189260416667,799
"2020-07-13",0,21.58,7.419,59,78.05,33.19,801.094791666667,804,799.5,68,"ENE",42.372,213.905020833333,772.8
"2020-07-14",0,18.89,11.16,73.540625,81.8,58.25,803.364583333333,806,801,103,"E",38.664,131.074479166667,873
"2020-07-15",0,19.54,8.86,72.3776041666667,85.3,51.92,800.501041666667,803,797.9,70,"ENE",48.708,211.351802083333,765.1
"2020-07-16",0,20.14,8.99,69.4336458333333,81.5,52.31,800.947916666667,803,798.9,52,"NE",45.072,210.6258125,773.4
"2020-07-17",0,20.2,8.99,63.6967708333333,73.8,51.01,800.665625,803,798.5,26,"NNE",48.312,215.693520833333,776.3
"2020-07-18",0,22.5,9.45,57.0558333333333,75.54,40,798.29375,800,796.1,38,"NE",52.02,219.530791666667,791.5
"2020-07-19",0,23.48,9.39,48.8732291666667,67.08,25.53,798.178125,799.6,796,48,"NE",44.316,223.18165625,800
"2020-07-20",0,22.1,8.79,56.4828125,70.65,34.61,799,800,797.2,38,"NE",45.18,218.1638125,799.2
"2020-07-21",0,22.28,9.71,56.7046875,67.4,40.01,798.605208333333,800,796.6,57,"ENE",42.048,220.636520833333,789.3
"2020-07-22",0,23.22,8.86,61.8672916666667,78.65,35.13,797.576041666667,799,795.8,36,"NE",47.844,220.633635416667,791.3
"2020-07-23",0,23.41,14.43,65.0879166666667,78.11,39.97,797.886458333333,799.9,796,30,"NNE",48.888,196.390354166667,875
"2020-07-24",0,17.58,13.25,70.20875,77.27,60.52,798.727083333333,802,796.9,81,"E",58.392,67.66184375,713.9
"2020-07-25",0,15.81,9.52,70.0390625,86.8,53.38,803.166666666667,805,801,149,"SSE",38.52,129.222010416667,984
"2020-07-26",0,21.31,7.875,64.4225,82.6,40.52,800.691666666667,804,798.5,74,"ENE",59.076,202.548104166667,816
"2020-07-27",0,23.94,8.48,53.5102083333333,71.95,23.64,799.320833333333,802,796.9,118,"ESE",44.1,229.769354166667,817
"2020-07-28",0,20.92,8.34,62.026875,83.6,42.02,801.892708333333,804,799.6,318,"NW",49.068,227.750927083333,831
"2020-07-29",0,16.33,9.52,71.5372916666667,85.7,56.41,802.096875,804,799.4,69,"ENE",50.472,222.248604166667,805
"2020-07-30",0,16.79,8.27,68.3089583333333,82.9,55.17,801.56875,803,798.9,84,"E",50.472,228.181239583333,805
"2020-07-31",0,19.09,6.7,66.9686458333333,80.8,48.33,802.46875,805,800,27,"NNE",42.66,229.77090625,816
"2020-08-01",0,18.89,8.35,64.1838541666667,82.6,46.77,804.020833333333,806,801,44,"NE",42.732,219.987270833333,837
"2020-08-02",0,20.91,7.416,56.23,73.52,39.03,802.75,807,801,73,"ENE",43.596,231.255177083333,816
"2020-08-03",0,19.74,8.53,64.0219791666667,76.85,47.35,805.395833333333,807,803,85,"E",36,228.346208333333,811
"2020-08-04",0,20.07,7.944,61.1983333333333,77.74,43.95,803.333333333333,805,801,65,"ENE",41.364,235.31096875,825
"2020-08-05",0,20.46,6.404,56.3985416666667,69.07,37.43,802.029166666667,804,799.8,49,"NE",45.936,230.387666666667,832
"2020-08-06",0,19.78,6.5,56.1828125,70.54,34.81,802.625,806,801,95,"E",37.152,235.349583333333,832
"2020-08-07",0,20.53,9.78,60.1102083333333,73.14,44.68,804.010416666667,806,801,66,"ENE",37.476,231.731020833333,831
"2020-08-08",0,18.98,8.73,68.1671875,78.87,48.79,804.020833333333,806,801,53,"NE",48.348,233.016760416667,820
"2020-08-09",0,20.22,8.47,68.6825,82.1,51.68,802.064583333333,804,799.2,39,"NE",40.176,233.656604166667,825
"2020-08-10",0,21.64,8.99,57.1092708333333,79,37.72,797.723958333333,801,794.8,61,"ENE",42.66,228.78084375,837
"2020-08-11",0,22.43,9.71,54.2388541666667,71.69,37.01,798.7,801,796.3,270,"W",43.956,163.815479166667,863
"2020-08-12",0,20.66,12.27,57.3496875,74.19,41.35,796.563541666667,798.9,793.8,320,"NW",77.904,236.765395833333,836
"2020-08-13",0,22.23,10.41,61.02875,72.36,39.36,796.994791666667,799.3,794.6,358,"N",49.464,235.593947916667,832
"2020-08-14",0,22.76,14.37,53.3147916666667,73.27,39.54,795.966666666667,797.8,794,280,"W",64.152,233.220270833333,903
"2020-08-15",0,23.74,11.75,55.1192708333333,68.98,38.25,796.342708333333,798.8,793.9,327,"NNW",71.748,170.40425,856
"2020-08-16",0.1,22.95,13.52,61.3797916666667,86.9,45.1,796.423958333333,798.4,793.1,304,"WNW",82.656,180.062166666667,913
"2020-08-17",0,23.58,13.98,61.3559375,81.5,42.3,796.234375,798.9,792.7,262,"W",53.568,214.445979166667,888
